Data_Source,phcf_uuid,edrpou,phcf_title,care_type_en,care_type_uk,sdps,email,website,phone,owner_name,address,lat,lng,Admin1_Pcode,Admin1_Name,Admin2_Pcode,Admin2_Name,Admin3_Pcode,Admin3_Name,Admin4_Pcode,Admin4_Name,edrpou_raw,gov_type,Trained,Kobo_Trained
NHSU Dataset,52b72d8c-8b65-47fb-9ff0-98b146e4e66a,ID_03083133,КНП ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №1 СУМСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,,centr1spets@gmail.com,,tel:+380542787718,Оводенко Алла Іванівна,"Україна, 40009, Сумська обл., місто Суми, ВУЛИЦЯ ІЛЛІНСЬКА, будинок 48/50",50.913163,34.782526,UA59,Sumska,UA5908,Sumskyi,UA5908027,Sumska,UA5908027001,Sumy,3083133,public,1,
NHSU Dataset,4454584e-d500-4f01-ac2b-ab44e9f04eda,ID_03293480,КНП МІСЬКА ДИТЯЧА ПОЛІКЛІНІКА № 13 ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,2,milanko1969@ukr.net,http://13detpol.city.kharkov.ua,tel:+380577255734,Міланко Юлія Михайлівна,,50.016328,36.359564,UA63,Kharkivska,UA6312,Kharkivskyi,UA6312027,Kharkivska,UA6312027001,Kharkiv,3293480,public,1,yes
NHSU Dataset,3229dfdd-5dda-4ade-bf8f-b5856c6a76d6,ID_03293936,МІСЬКА ДИТЯЧА ПОЛІКЛІНІКА № 14 ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ,Primary,Первинна,1,prasolvn@gmail.com,,tel:+380577250390,Віра Прасол,,50.057298,36.20883,UA63,Kharkivska,UA6312,Kharkivskyi,UA6312027,Kharkivska,UA6312027001,Kharkiv,3293936,public,1,
NHSU Dataset,85fdb1d1-4afe-4f67-b529-99b7b379a342,ID_04543022,КП ЛУЦЬКА МІСЬКА ДИТЯЧА ПОЛІКЛІНІКА,Specialized,Спеціалізована,2,ruslanakplmdp@gmail.com,www.lmdp.lutsk.ua,"tel:+380332716976, +380332716976",Заяць Руслана Федорівна,,50.756113,25.362612,UA07,Volynska,UA0708,Lutskyi,UA0708017,Lutska,UA0708017001,Lutsk,4543022,public,1,yes
NHSU Dataset,91bfb2e2-b246-46e9-b8c8-95957e576657,ID_04591208,КНП СІМЕЙНА ПОЛІКЛІНІКА ЧЕРНІГІВСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,1,sp@chernigiv-rada.gov.ua,,tel:+380462774747,Поляков Роман Валерійович,,51.49845,31.280217,UA74,Chernihivska,UA7410,Chernihivskyi,UA7410039,Chernihivska,UA7410039001,Chernihiv,4591208,public,1,yes
NHSU Dataset,35bc63fb-f6d8-4cc0-96a1-712eee5c4cb6,ID_05483150,КНП МИКОЛАЇВСЬКОЇ МІСЬКОЇ РАДИ ЦПМСД №1,Primary,Первинна,5,Juyli557@gmail.com,https://mk-cpmsd1.lic.org.ua,tel:+380512558504,Юлія Канішевська,,46.931644,32.040292,UA48,Mykolaivska,UA4806,Mykolaivskyi,UA4806015,Mykolaivska,UA4806015001,Mykolaiv,5483150,public,1,yes
NHSU Dataset,46383042-ac6f-4dca-9a15-b2357ccbe9c8,ID_05483182,КНП МИКОЛАЇВСЬКОЇ МІСЬКОЇ РАДИ ЦЕНТР ПЕРВИННОЇ МЕДИКО -САНІТАРНОЇ ДОПОМОГИ №2,Specialized,Спеціалізована,4,valentinapolisenko@gmail.com,,tel:+380512444403,Валентина Поліщенко,,46.960035,32.068265,UA48,Mykolaivska,UA4806,Mykolaivskyi,UA4806015,Mykolaivska,UA4806015001,Mykolaiv,5483182,public,1,yes
NHSU Dataset,592e6837-66d0-4f5b-a22b-9787d8cdd3d6,ID_13749863,КНП ЦПМСД № 2 М. КРОПИВНИЦЬКОГО КРОПИВНИЦЬКОЇ МІСЬКОЇ РАДИ,Primary,Первинна,4,doc.novikova@meta.ua,,tel:+380522553727,Новикова Дарина Вікторівна,,48.497546,32.209282,UA35,Kirovohradska,UA3504,Kropyvnytskyi,UA3504021,Kropyvnytskyi,UA3504021001,Kropyvnytskyi,13749863,public,1,yes
NHSU Dataset,af435685-cd01-4bb6-8208-d1f48662aa5d,ID_13815703,КНП ДРОГОБИЦЬКА МІСЬКА ЛІКАРНЯ № 1 ДРОГОБИЦЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,,knpdmldmr@gmail.com,,tel:+380324431077,Коцюба Андрій Єгорович,"Україна, 82100, Львівська обл., місто Дрогобич, ВУЛ.ШЕПТИЦЬКОГО, будинок 9",49.364733,23.503799,UA46,Lvivska,UA4602,Drohobytskyi,UA4602003,Drohobytska,UA4602003001,Drohobych,13815703,public,1,
NHSU Dataset,1a8bd5af-1d3d-4d33-9a4c-bf35c77148a6,ID_14233274,КНП ЧЕРНІГІВСЬКА МІСЬКА ЛІКАРНЯ № 2 ЧЕРНІГІВСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,,chgb2_kv@ukr.net,,tel:+380462909010,Кухар Владислав Вікторович,"Україна, 14034, Чернігівська обл., місто Чернігів, пр.Грушевського Михайла, будинок 168б",51.516599,31.309828,UA74,Chernihivska,UA7410,Chernihivskyi,UA7410039,Chernihivska,UA7410039001,Chernihiv,14233274,public,1,
NHSU Dataset,2c88c0ed-3c86-445b-be52-57405b7b7119,ID_19163609,КНП ДРОГОБИЦЬКА МІСЬКА ПОЛІКЛІНІКА ДРОГОБИЦЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,,ugoncarenko04@gmail.com,,tel:+380672600103,Гончаренко Юлія Василівна,"Україна, 82100, Львівська обл., місто Дрогобич, ВУЛ. СІЧОВИХ СТРІЛЬЦІВ, будинок 22",49.353434,23.49764,UA46,Lvivska,UA4602,Drohobytskyi,UA4602003,Drohobytska,UA4602003001,Drohobych,19163609,public,1,
NHSU Dataset,a7edef06-5f28-4fe7-be29-17a8e5dbaed8,ID_20761149,КНП 2-А МІСЬКА ПОЛІКЛІНІКА М.ЛЬВОВА,Primary,Первинна,0,noti2121@ukr.net,https://knp2mp.lviv.ua,tel:+380322635185,Кручок Наталія Богданівна,,49.809066,23.98669,UA46,Lvivska,UA4606,Lvivskyi,UA4606025,Lvivska,UA4606025001,Lviv,20761149,public,1,yes
NHSU Dataset,94361ceb-2770-49df-8675-086a4fda5f70,ID_20763289,КНП НОВОЯВОРІВСЬКА ЛІКАРНЯ ІМЕНІ ЮРІЯ ЛИПИ НОВОЯВОРІВСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,,vtorunkanrl+1@ukr.net,,tel:+380325640471,Родич Андрій Іванович,"Україна, 81053, Львівська обл., Яворівський р-н, місто Новояворівськ, ВУЛИЦЯ ШЕВЧЕНКА, будинок 18",49.934062,23.564493,UA46,Lvivska,UA4614,Yavorivskyi,UA4614005,Novoiavorivska,UA4614005001,Novoiavorivsk,20763289,public,1,
NHSU Dataset,229d6ac3-15ce-425b-9b42-85e8bbf842ef,ID_20763852,КНП ЖУРАВНІВСЬКА МІСЬКА ЛІКАРНЯ ЖУРАВНЕНСЬКОЇ СЕЛИЩНОЇ РАДИ ЛЬВІВСЬКОЇ ОБЛАСТІ,Primary,Первинна,,mlzuravno@ukr.net,,tel:+380973057306,Овсянецький Ярослав Олександрович,"Україна, 81780, Львівська обл., Стрийський р-н, селище Журавно, вул.Чубинського, будинок 2",49.258774,24.286538,UA46,Lvivska,UA4610,Stryiskyi,UA4610007,Zhuravnenska,UA4610007001,Zhuravno,20763852,public,1,
NHSU Dataset,6fa70497-284f-4715-9274-1b0f1f9c457f,ID_20763941,КНП РАВА-РУСЬКА ЛІКАРНЯ РАВА-РУСЬКОЇ МІСЬКОЇ РАДИ ЛЬВІВСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ,Primary,Первинна,,knpravalikarnya@ukr.net,,tel:+380677506407,Коцур Марія Мирославівна,"Україна, 80316, Львівська обл., Львівський р-н, місто Рава-Руська, вул.Грушевського, будинок 120",50.214998,23.634311,UA46,Lvivska,UA4606,Lvivskyi,UA4606039,Rava-Ruska,UA4606039001,Rava-Ruska,20763941,public,1,
NHSU Dataset,86406ebb-3f61-4b7b-a9c9-17ffce96b43c,ID_20764314,КНП НОВОРОЗДІЛЬСЬКА МІСЬКА ЛІКАРНЯ НОВОРОЗДІЛЬСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,2,ivannakulyk25@gmail.com,https://nrml.com.ua,tel:+380326126125,Іванна Кулик,,49.474504,24.129058,UA46,Lvivska,UA4610,Stryiskyi,UA4610015,Novorozdilska,UA4610015001,Novyi Rozdil,20764314,public,1,yes
NHSU Dataset,931a0dc4-fa22-4ef2-a3ad-fe6d8ff9c123,ID_20764716,КНП СЛАВСЬКОЇ СЕЛИЩНОЇ РАДИ СЛАВСЬКА МІСЬКА ЛІКАРНЯ,Specialized,Спеціалізована,5,slavska_ml@ukr.net,,tel:+380325142143,Галина Іванищів,,48.846949,23.443865,UA46,Lvivska,UA4610,Stryiskyi,UA4610021,Slavska,UA4610021001,Slavske,20764716,public,1,
NHSU Dataset,7b3b2ea7-c30a-4dad-bae7-4e36560c9e49,ID_20765006,КНП ДОБРОМИЛЬСЬКОЇ МІСЬКОЇ РАДИ ДОБРОМИЛЬСЬКА РАЙОННА ЛІКАРНЯ,Primary,Первинна,,likarnyad@ukr.net,,tel:+380323833344,Урбанович Оксана Ярославівна,"Україна, 82042, Львівська обл., Самбірський р-н, місто Добромиль, вул.Міцкевича, будинок 17",49.571469,22.788218,UA46,Lvivska,UA4608,Sambirskyi,UA4608005,Dobromylska,UA4608005001,Dobromyl,20765006,public,1,
NHSU Dataset,52eea272-ff41-4e72-a21f-ab5ace79dbca,ID_20851349,КНП «3 -Я МІСЬКА ПОЛІКЛІНІКА М.ЛЬВОВА»,Specialized,Спеціалізована,1,vasylyevatania@gmail.com,www.3mp.lviv.ua,tel:+380322670612,Васильєва Тетяна Юріївна,,49.844789,23.967486,UA46,Lvivska,UA4606,Lvivskyi,UA4606025,Lvivska,UA4606025001,Lviv,20851349,public,1,yes
NHSU Dataset,22460924-bcc9-4196-96dd-f385d285f41f,ID_21467676,КНП ЦПМСД № 2 ДЕСНЯНСЬКОГО РАЙОНУ М. КИЄВА,Specialized,Спеціалізована,1,desnacpmsd2@kyivcity.gov.ua,,tel:+380735371510,СМІРНОВА Наталія Григорівна,,50.509206,30.596555,UA80,Kyiv,UA8000,Kyiv,UA8000000,Kyiv,UA8000000000,Kyiv,21467676,public,1,yes
NHSU Dataset,f4bd6e1f-06f4-40df-af1e-6f4eb1224cb9,ID_22208209,КНП БІЛОЦЕРКІВСЬКОЇ МІСЬКОЇ РАДИ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №1,Primary,Первинна,,centr.pmsd@ukr.net,,tel:+380456360312,Черненко Людмила Вікторівна,"Україна, 09113, Київська обл., Білоцерківський р-н, місто Біла Церква, вул.Мазепи Івана, будинок 65а",49.815794,30.086572,UA32,Kyivska,UA3202,Bilotserkivskyi,UA3202001,Bilotserkivska,UA3202001001,Bila Tserkva,22208209,public,1,
NHSU Dataset,10f57a9c-da92-4eed-85d9-16d2a99e5219,ID_22645921,КНП МІСЬКА ДИТЯЧА ПОЛІКЛІНІКА № 1 ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,1,innabordug1993@gmail.com,1detpol.city.kharkov.ua,tel:+380572521122,Манжула Інна Сергіївна,,49.943987,36.274658,UA63,Kharkivska,UA6312,Kharkivskyi,UA6312027,Kharkivska,UA6312027001,Kharkiv,22645921,public,1,yes
NHSU Dataset,368e4a49-4392-4a8a-9755-5a46c9572fe7,ID_22658190,КНП МІСЬКА ПОЛІКЛІНІКА №9 ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ,Primary,Первинна,3,margarita.mitronova@gmail.com,http://9pol.city.kharkov.ua,tel:+380577255600,Мітронова Маргарита Миколаївна,,49.920616,36.414848,UA63,Kharkivska,UA6312,Kharkivskyi,UA6312027,Kharkivska,UA6312027001,Kharkiv,22658190,public,1,yes
NHSU Dataset,9b70ab13-d754-4790-b259-1bbe222aef6c,ID_23002303,КНП МІСЬКА ДИТЯЧА ПОЛІКЛІНІКА № 7 ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,1,Vunokurova_OD@ukr.net,,tel:+380577255566,Винокурова Олена Дмитрівна лікар-педіатр,,49.995498,36.351418,UA63,Kharkivska,UA6312,Kharkivskyi,UA6312027,Kharkivska,UA6312027001,Kharkiv,23002303,public,1,
NHSU Dataset,174c4f58-e51a-477b-9db8-e96487dc9f2a,ID_23379143,КНП ЦПМСД №2 ОБОЛОНСЬКОГО РАЙОНУ М.КИЄВА,Primary,Первинна,3,"md.talanova86@gmail.com,tanuxa.likar@gmail.com",https://www.cpmsd2obolon.com,tel:+380443357529,"Таланова Ольга Анатоліївна , Потапюк Тетяна Віталіївна","Юридична адреса: просп.Литовський, 8, Київ, 04202, Фактична адреса: вул.Вишгородська, 54 А, Київ, 04114",50.524349,30.452587,UA80,Kyiv,UA8000,Kyiv,UA8000000,Kyiv,UA8000000000,Kyiv,23379143,public,1,yes
NHSU Dataset,048d6cca-1c0e-43af-968a-29cc296705db,ID_23957835,КНП 5-А МІСЬКА КЛІНІЧНА ПОЛІКЛІНІКА М.ЛЬВОВА,Specialized,Спеціалізована,6,Bronskajulia123@ukr.net,https://5poliklinika.lviv.ua,tel:+380322368707,Бронська Юлія Василівна,,49.825815,23.966812,UA46,Lvivska,UA4606,Lvivskyi,UA4606025,Lvivska,UA4606025001,Lviv,23957835,public,1,yes
NHSU Dataset,5ed752fb-acfe-4364-b4a0-850d9a7737ef,ID_23970286,КНП 4-А МІСЬКА ПОЛІКЛІНІКА М. ЛЬВОВА,Specialized,Спеціалізована,3,belova64@ukr.vet,http://4kmplviv.org.ua,tel:+380322225522,Бєлова Галина Андріївна,,49.790185,24.05806,UA46,Lvivska,UA4606,Lvivskyi,UA4606025,Lvivska,UA4606025001,Lviv,23970286,public,1,yes
NHSU Dataset,0ee00ff3-d0a1-4b79-a752-7a26d889af59,ID_24270460,КНП МІСЬКА ДИТЯЧА ПОЛІКЛІНІКА № 12 ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,1,dgp_12@ukr.net,,tel:+380577251101,Олена Гринь,,49.986203,36.275047,UA63,Kharkivska,UA6312,Kharkivskyi,UA6312027,Kharkivska,UA6312027001,Kharkiv,24270460,public,1,
NHSU Dataset,0d123794-c39e-49cb-b1eb-d695bc2c5794,ID_25375178,КНП МИКОЛАЇВСЬКОЇ МІСЬКОЇ РАДИ ЦПМСД №6,Primary,Первинна,8,thsymbal1958@ukr.net,,tel:+380512460231,Цимбал Тетяна Володимирівна,,46.967719,31.969701,UA48,Mykolaivska,UA4806,Mykolaivskyi,UA4806015,Mykolaivska,UA4806015001,Mykolaiv,25375178,public,1,yes
NHSU Dataset,1a36cb8a-3ccb-4943-970d-073f12e56b17,ID_25463416,МІСЬКА ДИТЯЧА ПОЛІКЛІНІКА № 15 ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ,Primary,Первинна,2,oksanatatarintseva16@gmail.com,,tel:+380577255273,Татаринцева Оксана Василівна,,49.956109,36.34479,UA63,Kharkivska,UA6312,Kharkivskyi,UA6312027,Kharkivska,UA6312027001,Kharkiv,25463416,public,1,yes
NHSU Dataset,4a05e47a-4396-4996-9a82-81bafd0d7383,ID_26188550,КНП ЦПМСД ПЕЧЕРСЬКОГО РАЙОНУ М. КИЄВА,Primary,Первинна,8,kovalchyktsdoctor@gmail.com,,tel:+380442802904,Богатова Тетяна Сергіївна,,50.443442,30.545618,UA80,Kyiv,UA8000,Kyiv,UA8000000,Kyiv,UA8000000000,Kyiv,26188550,public,1,yes
NHSU Dataset,9219241f-c7d0-4439-8a65-2057fe47b953,ID_26188946,КНП ЦПМСД № 1 ДНІПРОВСЬКОГО РАЙОНУ М. КИЄВА,Primary,Первинна,6,dnepr.cpmsd1@gmail.com,http://www.doktor-dnepr.kiev.ua,tel:+380443378084,Чубатий Роман Андрійович,,50.478475,30.59328,UA80,Kyiv,UA8000,Kyiv,UA8000000,Kyiv,UA8000000000,Kyiv,26188946,public,1,yes
NHSU Dataset,33f60ba5-5f94-44e8-8610-7fd96b45e773,ID_26189130,КНП ЦПМСД №3 ДНІПРОВСЬКОГО РАЙОНУ М. КИЄВА,Primary,Первинна,2,zadvornova.oksana@ukr.net,centr3dn.kyiv.ua,tel:+380445732833,Задворнова Оксана Олександрівна,,50.453969,30.62621,UA80,Kyiv,UA8000,Kyiv,UA8000000,Kyiv,UA8000000000,Kyiv,26189130,public,1,
